#{"t_start": 1779171662.9262993, "env_id": "None"}
r,l,t
-102.799162,211,1.109784
-105.269243,449,1.341828
-1.092157,500,2.189171
16.58547,500,2.439137
21.507785,500,3.268078
45.365753,500,3.528117
21.649492,500,4.359004
70.749915,500,4.613203
69.612236,500,5.574883
218.965015,436,5.8495
96.298265,500,6.150536
220.316422,392,7.023513
-3.166214,490,7.330086
221.409517,373,8.182691
222.676454,308,8.37472
220.556299,274,8.540401
222.377806,268,9.358712
222.245741,305,9.540295
221.440037,267,9.698624
221.607764,336,9.907766
220.685032,276,10.695676
222.335626,239,10.848699
221.737573,224,10.982205
222.558425,258,11.144278
222.704794,213,11.917654
223.420942,229,12.054226
220.977717,221,12.194325
222.655439,277,12.367352
221.384455,196,13.159506
221.491458,201,13.29002
221.310026,194,13.424191
222.028703,173,13.526702
222.167651,198,13.650479
219.728046,214,13.78451
223.257915,186,14.586212
223.00696,187,14.70536
221.66178,177,14.816527
222.180123,176,14.927548
221.827762,178,15.040642
220.706167,164,15.847315
222.162836,168,15.956604
221.951707,163,16.062757
222.238852,173,16.174674
221.841727,169,16.282398
221.211113,168,16.389125
221.563459,165,16.494003
222.913107,155,17.241827
222.871163,156,17.33969
222.053527,151,17.435643
223.371766,156,17.533617
223.30568,153,17.631289
221.073092,142,17.719125
223.709306,158,18.467437
221.906666,150,18.560405
221.738956,135,18.645418
223.00653,143,18.735884
222.873134,136,18.820369
223.943975,149,18.912984
223.264965,150,19.008069
223.809788,157,19.764493
221.947742,145,19.85593
222.779063,142,19.946005
221.365973,127,20.025759
222.179977,138,20.109908
222.252482,137,20.195739
223.350522,137,20.281719
222.628186,143,20.373519
223.233188,132,21.107166
222.814705,128,21.185461
221.486383,133,21.26864
221.230703,124,21.346457
223.441133,137,21.433314
222.792962,131,21.516078
222.453583,135,21.602061
221.814938,130,21.685263
222.781761,130,22.411753
222.884862,121,22.489198
222.681018,121,22.565372
222.728945,127,22.645572
223.269908,130,22.728421
221.74057,128,22.810607
223.114376,123,22.88825
222.132194,119,22.962
222.734169,123,23.692186
221.866998,117,23.767427
221.557996,117,23.841703
222.647838,125,23.920563
222.390732,121,23.998636
221.543846,117,24.072184
222.63952,123,24.14853
221.704264,119,24.222305
223.667977,126,24.950574
221.54508,112,25.022186
221.972765,112,25.092516
223.189028,122,25.170326
222.792155,125,25.248976
221.230277,117,25.323831
222.44902,120,25.400678
221.508624,114,25.471876
221.602839,115,25.544961
221.958999,114,26.273883
221.908697,111,26.343395
222.350181,116,26.417403
222.312348,114,26.48891
223.339882,116,26.561939
222.299285,120,26.636932
222.569075,118,26.711929
222.430891,115,26.78544
223.280654,121,26.860953
222.459046,113,27.580271
222.30598,113,27.651783
221.660756,111,27.738295
221.172532,110,27.808294
221.832031,112,27.878474
220.666955,109,27.947987
221.648921,114,28.018989
222.019457,112,28.088496
222.181811,111,28.158009
221.750452,112,28.880792
222.395087,115,28.954302
222.223972,113,29.025306
221.338074,107,29.092815
222.648206,113,29.164702
221.062227,113,29.237511
221.836634,112,29.308024
222.111714,114,29.381532
222.255434,111,29.452041
222.458844,112,30.175782
222.566463,112,30.247293
222.065823,110,30.316293
221.336181,111,30.3868
222.516104,110,30.455309
222.40535,113,30.527532
221.850353,111,30.598039
222.411185,109,30.666547
221.884013,110,30.737153
221.844054,110,31.45515
221.627184,111,31.526154
222.428039,110,31.596738
222.637241,112,31.66697
221.593522,111,31.73758
223.04968,115,31.809581
221.551763,106,31.875185
221.808878,109,31.944481
222.098267,111,32.014104
221.802491,106,32.081786
222.826859,110,32.797359
221.988257,110,32.867007
222.140053,111,32.937518
222.015196,109,33.006426
221.82807,109,33.07503
222.42355,109,33.143541
222.321704,110,33.214543
223.028446,111,33.283612
222.357821,108,33.351209
222.454396,109,34.066441
221.519066,105,34.134048
222.191744,107,34.202046
222.370612,107,34.270319
222.503582,108,34.338742
222.107522,107,34.405742
221.536644,108,34.473251
221.971357,109,34.540867
221.733465,107,34.609039
221.737111,104,34.675547
221.745663,106,35.390212
222.526694,108,35.458811
222.077091,109,35.528816
222.552066,108,35.597383
222.274852,110,35.669585
222.198854,108,35.73824
222.672299,109,35.806751
221.870639,106,35.87335
222.184904,107,35.940869
221.427836,104,36.657567
222.101499,107,36.726571
221.430051,104,36.792078
221.939883,107,36.860584
222.514532,107,36.925589
222.214967,107,36.992164
221.913064,107,37.059684
221.567059,104,37.126684
222.299985,108,37.195191
221.674265,104,37.260769
222.096405,107,37.975629
221.333361,107,38.044142
221.886677,105,38.108141
221.023301,106,38.175652
221.247507,106,38.24116
221.648435,105,38.306158
222.208262,108,38.373669
220.890092,106,38.441197
221.669148,106,38.507198
221.641876,106,39.225859
221.424097,105,39.292366
222.165613,107,39.359875
221.534013,106,39.424877
221.522204,106,39.490385
222.039829,105,39.556898
222.301348,106,39.623902
221.502037,104,39.690408
222.119912,106,39.756917
221.760139,105,39.821934
220.994399,104,40.538926
222.031229,104,40.605097
221.995236,108,40.673611
222.0543,105,40.739122
221.648805,106,40.806121
222.053975,106,40.873106
221.425897,105,40.938616
221.969705,105,41.003615
221.902286,105,41.068635
222.217724,105,41.135698
221.538421,106,41.849962
222.214702,106,41.916964
221.354577,104,41.983079
222.201511,106,42.050678
221.950776,104,42.117152
221.637983,105,42.182692
221.447049,104,42.2499
221.656836,106,42.315809
221.448336,104,42.382318
221.95526,105,42.448826
221.904411,106,43.164926
221.472471,105,43.231021
221.413805,104,43.296437
222.055069,105,43.362945
221.576178,104,43.428949
221.832052,104,43.495041
222.567354,106,43.561594
222.478788,106,43.62871
221.674469,105,43.694215
221.415906,104,44.420003
