#{"t_start": 1779171662.9283006, "env_id": "None"}
r,l,t
-7.984117,500,1.255317
15.669724,500,1.513836
-5.788171,500,2.363631
-1.706195,500,2.613797
45.395574,500,3.442608
23.455791,500,3.713139
69.430402,500,4.524122
73.340304,500,4.834708
72.653211,500,5.7859
221.421763,478,6.075026
74.265408,500,7.015511
96.255322,500,7.329086
219.229435,276,8.120693
221.38789,373,8.352719
219.786736,423,8.60621
221.65275,372,9.487876
222.588092,339,9.688623
220.668723,321,9.88876
221.245585,253,10.662677
223.143124,313,10.861695
221.181177,277,11.028714
221.324763,232,11.174274
221.478078,211,11.945654
222.615949,210,12.070225
221.909368,194,12.194325
223.257821,198,12.31735
221.732963,202,12.446437
221.606693,195,13.240018
221.897972,212,13.385136
223.268099,208,13.511191
223.393629,193,13.630476
222.712713,201,13.756507
221.944778,182,14.556237
223.024543,194,14.678354
220.842502,185,14.795519
221.653784,175,14.906036
223.472264,179,15.019641
222.1466,190,15.140159
222.512239,166,15.950603
222.738144,164,16.057632
222.307548,170,16.167334
221.5505,168,16.274896
222.755047,181,16.389625
221.934453,159,16.491003
222.537548,149,17.235325
222.189701,161,17.335691
223.335728,149,17.430643
223.5543,144,17.52151
222.365255,147,17.614182
224.150226,153,17.710123
221.890607,158,18.457927
221.862933,156,18.555405
223.871047,158,18.654962
222.264027,164,18.757705
222.556523,136,18.842431
222.072999,140,18.929633
222.513927,155,19.028086
223.356455,146,19.776888
223.198905,143,19.867435
221.836234,140,19.956514
221.888248,135,20.03977
222.556026,133,20.121922
222.186198,140,20.20975
223.948911,146,20.301776
222.527515,135,20.388024
221.994189,123,21.11467
222.64564,130,21.194967
222.164992,129,21.275147
221.899329,131,21.357963
222.333941,128,21.439818
221.627133,127,21.519616
222.996318,121,21.597556
222.494652,129,21.679258
223.184769,128,22.405754
222.528723,121,22.482199
221.461487,122,22.558362
221.144138,113,22.630062
223.470753,123,22.709403
222.280356,127,22.790094
222.638703,124,22.868675
222.121579,121,22.944886
223.999965,128,23.67717
222.73215,121,23.754915
223.453933,117,23.829694
222.646567,116,23.903056
222.513071,119,23.978391
221.456019,121,24.055172
221.669511,120,24.131022
222.40808,119,24.204292
223.144875,116,24.275517
221.897779,120,25.002169
222.161007,118,25.076411
222.185935,116,25.149678
222.39597,117,25.223455
221.931088,113,25.29669
221.596961,114,25.368559
222.499565,123,25.446359
222.135238,114,25.517902
222.108406,118,26.249882
222.007694,116,26.323884
222.514606,118,26.397393
222.74561,118,26.47191
221.668282,114,26.543933
222.905661,117,26.617421
221.485203,113,26.687929
223.140577,119,26.764439
222.395545,120,26.839952
221.544799,110,27.557269
222.182637,114,27.628781
222.602522,113,27.711788
222.716931,114,27.789381
221.78064,116,27.862474
221.99861,115,27.934984
221.877781,115,28.006984
222.122909,111,28.076497
221.886189,114,28.14801
222.710517,111,28.868791
222.308548,111,28.940301
222.497879,114,29.012305
222.5382,110,29.081813
221.816677,110,29.151428
222.16138,115,29.224434
221.078843,110,29.296022
222.125939,111,29.365532
222.020124,108,29.435039
221.654488,111,30.157781
222.184869,110,30.227379
221.202707,110,30.297291
222.183638,110,30.366892
222.321236,110,30.435308
222.675151,110,30.50531
221.876722,111,30.577037
222.712983,111,30.646548
222.435841,114,30.718641
221.531489,111,30.789241
222.970377,111,31.509149
221.140303,108,31.577737
222.21028,107,31.645971
222.861346,112,31.716068
221.889705,109,31.785578
221.866216,107,31.852184
221.654264,110,31.92128
221.783626,109,31.990102
222.20635,110,32.058782
222.117336,108,32.774357
222.719667,111,32.844006
221.893754,106,32.911006
221.978679,109,32.980517
222.607851,110,33.050029
222.153104,110,33.119036
222.807695,112,33.19054
222.555921,107,33.257608
221.613854,110,33.326613
222.331342,110,34.042439
222.130418,109,34.111532
223.179332,111,34.183046
222.534773,108,34.252231
221.453309,107,34.320234
221.462417,106,34.386741
221.013145,105,34.45225
222.502284,108,34.519359
222.103615,108,34.588039
222.010245,107,34.655546
222.5781,111,35.374207
221.983471,106,35.441811
221.513589,106,35.50881
222.112202,108,35.577383
221.590406,105,35.6467
222.431536,109,35.715637
222.219127,107,35.783751
222.491783,107,35.850349
222.322729,108,35.918359
220.878849,106,36.636567
221.37184,104,36.703565
222.280654,108,36.772076
222.173865,106,36.839583
220.95393,106,36.904584
221.757374,108,36.971602
221.823573,105,37.038682
221.553123,104,37.104682
222.150468,107,37.172189
221.699225,105,37.238766
221.216347,104,37.95163
221.85788,106,38.018632
221.575081,104,38.08414
222.002997,105,38.149651
221.651047,104,38.215651
221.033967,105,38.280157
222.159118,107,38.346668
221.949197,107,38.414178
221.185333,105,38.480195
222.049295,106,38.54582
221.234113,104,39.263364
221.724735,105,39.331367
221.163383,105,39.394873
221.523683,105,39.460384
221.616125,104,39.525385
221.373192,108,39.592896
221.480684,104,39.660407
221.978698,106,39.726409
221.354992,104,39.791918
221.461662,106,40.509416
222.33141,105,40.576097
221.66834,105,40.64261
221.957906,105,40.70861
221.512706,105,40.774117
221.1995,104,40.840104
222.390444,109,40.909102
221.58027,105,40.973615
221.826541,105,41.039122
221.61372,106,41.106186
222.144648,106,41.820453
221.602347,105,41.886961
222.268283,107,41.954478
221.602211,104,42.021082
221.404526,104,42.086589
221.990213,105,42.15318
221.93045,105,42.220253
221.916647,106,42.286808
221.483784,104,42.353317
221.794331,105,42.419319
221.517159,104,43.134927
222.549216,106,43.201925
221.591421,105,43.267436
222.343365,106,43.334944
222.021544,105,43.400944
222.167609,105,43.467038
221.361173,103,43.533041
222.016704,104,43.598707
221.919614,106,43.666213
221.944236,105,43.730215
221.961448,104,44.45551
221.530532,104,44.519624
222.214139,105,44.58664
221.926677,105,44.651151
221.830108,104,44.721157
221.930237,105,44.788663
222.923972,107,44.857177
222.018582,105,44.923182
222.137032,105,44.990688
222.037016,105,45.706283
221.377404,104,45.772795
221.792998,104,45.838305
221.88601,105,45.904303
222.590407,106,45.969813
222.582278,106,46.036323
221.717265,105,46.102323
221.741399,104,46.168837
221.807438,104,46.234836
221.345853,104,46.300344
221.5578,103,47.015814
221.70895,105,47.083322
222.327933,105,47.150835
221.778663,104,47.216835
222.279746,105,47.284345
222.35156,105,47.350856
222.001055,106,47.418462
222.511989,105,47.485478
221.470333,104,47.551993
222.256529,106,47.62027
221.692785,103,48.336064
221.549319,103,48.402068
222.408844,106,48.468575
222.755548,107,48.5347
221.615271,103,48.601291
221.933712,104,48.667533
222.089519,105,48.734623
222.196144,104,48.800129
221.977402,104,48.86564
222.122301,104,48.931642
221.959184,104,49.650263
221.938601,105,49.717263
222.572194,106,49.783772
222.259256,104,49.848905
222.183069,105,49.913816
221.836742,103,49.979327
222.458608,105,50.045836
221.800027,104,50.109835
221.77397,105,50.176344
222.383635,105,50.243853
222.018556,104,50.96556
222.632687,105,51.030542
222.103908,104,51.096108
222.562051,106,51.158613
222.042353,104,51.222616
221.58096,103,51.287123
222.740722,105,51.351634
222.337095,105,51.419631
222.75981,106,51.48614
222.227278,104,52.200788
222.133077,105,52.267363
222.149576,105,52.334349
222.443176,105,52.401841
222.629735,105,52.468278
222.828391,106,52.535407
222.035196,104,52.601424
221.974053,104,52.665937
222.289333,105,52.731938
222.281241,104,52.797959
223.167389,106,53.518037
221.911872,104,53.584498
221.890024,104,53.6501
222.502878,105,53.717008
222.209754,104,53.783157
222.444181,104,53.847667
221.64783,103,53.913665
221.882831,105,53.980176
222.454748,105,54.047687
221.854178,103,54.112778
222.010949,104,54.827286
222.578938,105,54.89379
222.346249,105,54.959301
221.645458,103,55.024304
222.348033,104,55.090766
222.381892,106,55.157353
222.140816,104,55.223402
222.081365,103,55.287998
222.262326,104,55.354418
223.072345,106,55.421418
222.406621,105,56.140249
222.249928,105,56.207247
221.395046,104,56.273756
222.271873,105,56.340266
222.336426,106,56.407268
222.185335,104,56.472776
221.839479,104,56.538482
221.791642,104,56.604908
222.625407,106,56.672419
220.978355,103,56.738927
222.119584,104,57.453628
222.084704,103,57.517628
222.732156,106,57.584136
221.577633,103,57.64865
221.951271,104,57.71465
221.571786,103,57.781158
221.624298,103,57.845671
222.020793,104,57.911674
222.605279,105,57.978194
222.121556,104,58.695793
222.125124,104,58.759301
221.865841,103,58.825306
221.587261,105,58.891831
222.128537,103,58.95634
221.897375,104,59.02234
222.58261,105,59.088851
221.471057,103,59.15436
221.853953,103,59.219362
221.970804,103,59.284869
221.661264,102,60.008436
222.077024,104,60.074943
221.992083,104,60.141455
222.037302,105,60.206455
222.087368,104,60.270968
221.892047,103,60.336973
222.019509,104,60.40148
221.627361,103,60.466991
220.913405,103,60.532502
221.674666,104,60.59801
222.086816,103,61.315665
221.833254,103,61.382175
222.369307,104,61.447685
221.489919,104,61.513685
222.224823,104,61.58049
222.059774,103,61.64525
221.994741,103,61.710858
221.922638,103,61.776368
222.531779,105,61.84288
222.506049,105,61.90888
221.870281,103,62.627517
221.894584,105,62.694024
221.99204,104,62.758537
221.478066,102,62.822539
221.864945,103,62.888141
222.374133,104,62.954563
221.988901,104,63.020563
222.151688,104,63.086076
222.090152,103,63.45313
221.93409,103,63.517785
222.123882,103,64.234925
221.794371,103,64.300435
222.025561,104,64.365947
222.310556,105,64.43295
222.829296,105,64.500006
222.352283,104,64.56514
221.971045,104,64.630652
221.803165,103,64.69516
222.46833,104,64.761672
221.849238,103,64.827675
221.064028,102,65.543832
222.05229,102,65.60874
222.505804,105,65.675927
222.291046,103,65.74093
222.467338,107,65.809009
222.655394,104,65.876069
222.228134,105,65.94316
222.354787,104,66.009292
222.070349,104,66.074806
221.890609,103,66.138808
222.123019,103,66.854077
222.009253,104,66.920075
222.18599,104,66.986199
222.952394,106,67.05471
222.420315,104,67.12071
221.796422,103,67.186221
221.668768,103,67.250769
221.944989,102,67.315769
221.049635,103,67.3823
222.304364,104,67.448828
221.921347,103,68.164915
222.2559,103,68.230427
222.436078,104,68.296933
221.589053,102,68.362447
222.523807,104,68.42945
222.436712,104,68.49496
222.487628,104,68.559979
221.495289,102,68.623951
221.912305,104,68.69046
222.495622,104,69.403272
222.730162,105,69.470778
221.926068,103,69.537781
222.361194,104,69.605291
222.002429,103,69.6708
222.845663,105,69.736804
222.289676,104,69.802309
222.409865,104,69.868387
222.319593,104,69.934391
222.713189,105,69.998897
222.603642,104,70.718497
221.669492,104,70.784012
222.628388,106,70.85152
222.608341,105,70.918522
222.243913,104,70.985034
222.699999,104,71.051544
222.396188,104,71.117609
223.01191,107,71.185118
221.867887,103,71.249633
221.711078,102,71.313633
222.603468,104,72.030746
222.920696,105,72.097254
222.427375,104,72.163763
222.365972,104,72.229767
222.781831,105,72.297815
222.278149,104,72.363326
222.913418,105,72.430498
222.505063,105,72.498053
221.912829,103,72.562172
223.293451,106,72.628801
222.594246,105,73.344434
221.507243,102,73.408435
222.056636,103,73.474039
222.530872,104,73.541044
222.583254,104,73.606783
222.376603,104,73.673517
222.367991,105,73.73952
222.839256,105,73.806026
