#{"t_start": 1779171662.9262993, "env_id": "None"}
r,l,t
-6.028947,500,1.256316
-8.050226,500,1.514838
-9.605729,500,2.365633
13.730896,500,2.615798
44.282621,500,3.444609
45.003185,500,3.714139
48.22428,500,4.526124
68.254906,500,4.83671
47.593422,500,5.787901
217.336545,435,6.050072
220.051312,405,6.936938
219.230582,355,7.153023
219.123871,473,8.072241
222.099416,298,8.253205
221.85416,452,8.5314
222.673619,293,9.36371
220.482277,361,9.580296
220.231079,314,9.772744
222.31112,256,9.928272
221.577506,292,10.726183
222.643142,248,10.885698
221.413498,264,11.043719
218.778822,252,11.20228
220.515624,242,11.985713
223.45412,242,12.139324
220.57932,190,12.25784
221.636379,210,12.391352
221.759377,176,13.171505
222.919166,195,13.297019
221.010466,214,13.44119
222.275864,231,13.582971
222.763454,178,13.692478
222.750516,238,14.527235
221.565793,194,14.649356
221.885811,177,14.761522
222.631971,187,14.879035
222.961068,175,14.990549
223.269666,177,15.102644
222.571216,169,15.913453
221.178046,160,16.019038
222.553145,152,16.116582
222.217721,154,16.216281
219.344635,160,16.318033
222.790731,172,16.426457
223.020876,189,17.196796
222.427262,157,17.296625
223.239013,159,17.395473
221.177655,157,17.49549
222.062934,140,17.583669
222.234816,156,17.682514
222.723461,151,17.776857
222.425092,189,18.542721
223.435685,167,18.648454
222.441223,143,18.737885
222.606761,144,18.827878
223.975093,153,18.923628
221.756992,135,19.009068
223.634796,143,19.75598
222.197557,137,19.842422
222.38439,139,19.929904
223.379525,158,20.029759
222.516551,134,20.112413
223.319059,143,20.202245
224.859873,149,20.29627
222.658367,141,20.385023
221.931177,138,21.122174
223.412721,130,21.20147
221.92432,122,21.278147
222.075239,131,21.359964
222.955901,128,21.44182
222.113098,127,21.522623
222.436818,123,21.601557
222.793711,132,21.685263
222.024333,119,22.405753
222.342358,123,22.483198
222.136484,120,22.558364
222.302037,116,22.632063
222.225692,122,22.709899
222.67351,131,22.794101
222.431855,119,22.868677
223.611942,126,22.947887
222.644431,126,23.680171
222.24779,116,23.753917
222.054221,117,23.829098
222.26902,118,23.903059
221.992555,121,23.980392
222.469515,117,24.054175
223.791304,123,24.132021
221.122655,129,24.211797
222.163234,119,24.93398
223.143958,122,25.012681
222.869327,118,25.086917
222.56562,118,25.161322
221.964437,116,25.235472
222.10572,116,25.30975
222.896745,114,25.38217
221.167917,121,25.458867
222.8514,117,25.532453
223.060872,118,26.263883
222.997366,118,26.338393
222.080088,117,26.4124
222.354945,112,26.482911
221.615534,115,26.554937
222.43408,119,26.629929
222.341182,116,26.702929
221.864712,113,26.77544
222.950377,119,26.849954
223.34336,115,27.57036
222.580962,112,27.640783
222.561094,115,27.730294
222.088895,111,27.800294
222.243234,112,27.871566
222.604967,113,27.942986
221.178516,110,28.010985
222.763745,117,28.084498
222.288624,113,28.155009
221.662812,111,28.876791
222.388842,111,28.947302
222.648506,115,29.021307
222.354388,114,29.092815
222.45748,116,29.16629
222.004441,114,29.239512
221.5841,112,29.310023
221.932749,112,29.381532
222.580304,114,29.45504
222.083413,110,30.176783
221.735766,109,30.245292
222.606272,111,30.316293
221.507584,110,30.3858
223.40269,113,30.456309
220.9133,106,30.524532
222.28784,108,30.593038
222.374598,112,30.663549
221.384365,107,30.732149
221.852465,109,31.449152
221.708287,107,31.518154
222.305827,108,31.586738
222.276196,110,31.65697
222.749474,108,31.724069
222.304447,109,31.79358
221.624682,110,31.862185
222.283021,111,31.931519
221.862711,109,32.001106
