#{"t_start": 1779171662.9252996, "env_id": "None"}
r,l,t
-6.245577,500,1.257316
-3.089126,500,1.515838
-5.22438,500,2.366632
-5.350346,500,2.616798
45.50224,500,3.445609
22.75821,500,3.715139
69.273233,500,4.527123
71.491098,500,4.837709
70.803221,500,5.788901
70.959549,500,6.090027
219.125694,420,6.983007
220.672763,475,7.279578
217.831565,350,8.117695
219.861924,330,8.322718
223.21422,286,8.496238
222.271497,285,8.668285
220.702873,270,9.486787
220.843496,230,9.622899
223.376226,264,9.789253
221.24209,329,10.607076
222.408907,249,10.761183
221.865179,255,10.924204
223.406666,298,11.104766
223.431988,279,11.919653
222.413644,224,12.052226
223.35306,249,12.210327
221.118726,217,12.346351
222.86735,262,13.180506
221.284667,185,13.30102
221.76033,191,13.43219
222.189157,202,13.553704
223.578048,205,13.681478
223.220779,195,13.802509
222.111128,169,14.59421
221.627638,156,14.693355
222.583248,186,14.810525
221.450342,175,14.920546
221.726752,185,15.038642
222.253688,174,15.851315
222.3167,176,15.966115
222.448307,183,16.085365
220.275729,197,16.212272
222.718513,186,16.330046
222.276663,160,16.431456
221.294124,155,17.180696
222.44625,153,17.277612
222.395479,147,17.368743
221.883561,142,17.458847
224.0209,156,17.557139
224.000971,165,17.662429
222.748225,155,17.758838
222.880323,153,18.50262
221.882386,144,18.592459
223.790859,149,18.686548
222.997615,141,18.775809
223.412937,147,18.866452
223.414282,150,18.961356
223.629918,143,19.0511
222.349928,142,19.797902
222.440119,132,19.881571
221.976997,134,19.96702
221.592583,126,20.044773
222.612826,136,20.127921
222.392873,140,20.216754
222.277189,139,20.304777
221.787237,143,21.044493
223.291304,132,21.128176
223.314437,137,21.212475
220.989221,123,21.289652
222.304317,125,21.36847
222.992904,127,21.44882
222.397432,135,21.534522
223.02205,128,21.615662
222.46816,125,22.340695
222.698214,123,22.418145
223.348042,136,22.505215
221.659659,120,22.57988
221.756653,123,22.65808
223.031035,123,22.736928
222.797778,122,22.815116
221.686689,129,22.895845
222.427833,134,22.979599
223.975306,124,23.710693
222.445398,124,23.78944
222.304395,123,23.868219
222.742551,120,23.944679
221.846198,118,24.019644
222.528322,120,24.095713
222.727732,121,24.170545
221.788146,123,24.245824
222.327594,123,24.973563
223.209711,117,25.047705
223.119022,113,25.11853
222.369946,120,25.19493
221.250767,114,25.268083
222.815057,118,25.342455
221.255778,113,25.414243
221.714885,116,25.487386
221.985906,115,25.560467
222.104591,114,26.288883
222.191596,114,26.361393
222.766561,118,26.43591
222.527866,115,26.507913
222.955194,120,26.583421
222.641674,117,26.656929
222.580365,117,26.731531
222.124802,114,26.80344
221.678092,117,26.876953
221.009651,112,27.59527
222.750728,114,27.667783
222.936956,114,27.756294
221.656555,108,27.82439
222.686071,114,27.896474
222.7842,111,27.966987
222.541899,112,28.036496
222.654948,113,28.107498
221.515489,109,28.176011
221.828535,112,28.898792
221.733252,111,28.969304
221.669034,112,29.039814
221.905346,108,29.107816
222.61782,115,29.180927
222.204195,113,29.253512
222.030658,111,29.324028
222.165248,113,29.396531
222.347808,109,29.465041
221.698498,114,30.190782
222.31004,111,30.26129
222.55505,110,30.330891
222.186461,111,30.4008
222.238821,108,30.46831
222.76359,112,30.54004
222.070386,109,30.609038
222.656545,115,30.682549
221.910058,112,30.752241
222.603924,109,31.47015
221.417525,110,31.540659
222.295437,108,31.609738
222.513581,109,31.678969
222.380324,109,31.747579
222.181121,110,31.816585
222.062043,112,31.886187
222.034585,109,31.955486
222.375054,109,32.024106
222.439666,108,32.738358
221.958032,106,32.805359
222.614249,111,32.876007
222.210781,107,32.943517
222.828826,109,33.013426
222.274871,107,33.081029
222.458905,111,33.150543
223.41613,111,33.221546
222.477869,110,33.290609
222.496829,109,33.35812
222.280967,107,34.07244
223.055995,111,34.143045
222.384983,109,34.213048
222.436288,110,34.283234
221.648716,107,34.350742
221.702101,107,34.417742
222.265575,106,34.484251
221.697034,106,34.549867
222.208179,109,34.620042
221.864479,107,35.336209
221.62482,108,35.404208
222.107906,107,35.472815
221.561523,105,35.539324
222.350751,109,35.609385
221.367411,107,35.678586
221.137676,105,35.745241
221.846239,107,35.81275
221.444189,106,35.879351
222.026329,105,35.945869
222.242396,107,36.664566
221.731625,106,36.732659
222.501322,108,36.801075
221.662462,105,36.867591
222.075041,107,36.933588
222.318152,107,36.999167
221.757605,106,37.066683
222.05237,107,37.135187
221.997325,107,37.203192
222.172464,107,37.27077
222.34128,107,37.984628
221.473617,105,38.052141
221.70598,107,38.118141
221.491343,104,38.18365
222.265591,107,38.25016
220.8656,105,38.315158
221.174683,104,38.380668
222.298252,110,38.450195
222.18587,106,38.516312
221.925856,108,39.236367
221.406444,106,39.304366
221.955909,107,39.369876
221.708069,107,39.436383
221.925552,105,39.501383
222.467276,107,39.568897
221.884697,105,39.636407
221.713949,105,39.701408
222.038819,106,39.769917
221.182156,104,39.834298
221.830258,105,40.552015
221.564062,104,40.617095
222.008473,106,40.683611
221.581655,104,40.74912
221.669216,104,40.815209
222.267424,106,40.882105
222.411872,107,40.948616
222.112645,106,41.014616
222.400698,107,41.081187
221.376431,106,41.148701
222.42135,106,41.862964
221.614919,106,41.929965
221.262181,104,41.996079
221.677278,105,42.062591
222.429895,106,42.130673
222.150282,105,42.196249
221.961248,106,42.263808
221.368478,105,42.330811
221.933364,104,42.397317
221.366141,104,43.111413
222.499446,107,43.178927
222.30197,105,43.245437
221.664631,104,43.311437
221.543161,106,43.377944
221.954102,105,43.445039
221.917893,106,43.511039
222.010252,105,43.577709
221.974043,106,43.645216
222.044153,104,43.709216
221.481478,106,44.436005
221.659009,105,44.500515
222.329503,105,44.566139
221.411815,104,44.631735
221.928879,105,44.697154
220.977531,104,44.767664
221.41007,104,44.834668
221.828869,104,44.901178
221.400954,104,44.966688
222.313246,105,45.03369
221.82624,104,45.749794
222.414859,106,45.815888
222.142471,104,45.882305
222.670479,106,45.948812
221.828853,104,46.012814
222.222491,105,46.078327
222.163107,104,46.144836
221.850687,103,46.209834
222.258058,105,46.276343
221.682131,105,46.342855
222.177636,105,47.060323
222.68379,106,47.129328
222.424612,105,47.195838
221.786413,104,47.261349
222.372125,107,47.33035
222.133973,105,47.396952
222.105505,105,47.46448
221.817628,104,47.530484
222.247456,104,47.597267
222.250847,105,48.314559
222.282331,105,48.381069
222.493601,105,48.448577
222.165927,104,48.512699
222.59119,105,48.580212
222.12246,106,48.647497
222.604193,107,48.714623
222.916008,106,48.78313
221.738421,104,48.848641
221.855609,105,48.915702
221.642139,103,49.632757
222.204579,105,49.699264
221.911101,105,49.766808
222.469863,106,49.832776
222.420395,105,49.897823
222.070868,104,49.962328
221.775542,104,50.029329
221.834934,103,50.092835
222.082525,105,50.158346
222.759577,106,50.226349
222.389614,105,50.949034
222.381062,105,51.014539
222.39226,106,51.081106
221.871953,104,51.145614
222.028206,104,51.206614
222.562505,105,51.273125
222.224247,105,51.337129
222.083206,104,51.403632
222.509564,105,51.470142
222.124135,104,51.536147
222.942377,106,52.251347
222.079944,104,52.318347
222.271494,104,52.384842
221.572571,103,52.450279
222.088591,105,52.516405
222.105846,104,52.583427
222.517263,105,52.647936
222.234675,104,52.712936
221.750262,103,52.77896
222.072322,105,53.498036
221.988642,105,53.564547
221.359085,103,53.630503
222.368357,105,53.697009
221.534985,103,53.762157
222.473689,105,53.828159
222.300173,104,53.894666
222.184751,104,53.960177
222.492256,105,54.028178
222.291562,104,54.093687
222.289069,105,54.80828
222.2331,105,54.874791
222.41595,104,54.940299
222.419999,104,55.005303
222.186479,105,55.072814
222.54655,104,55.137835
221.840052,103,55.203397
221.349199,104,55.268909
221.786425,104,55.333911
222.706344,105,55.401419
222.143338,103,56.118739
222.305418,105,56.185248
222.01138,104,56.251758
222.122224,104,56.318757
221.576496,103,56.382267
222.372355,105,56.448779
221.968071,103,56.514379
222.495184,105,56.581908
222.300428,105,56.648418
222.689814,106,56.716418
221.921701,103,57.431122
222.591109,105,57.496627
222.11189,104,57.562137
222.307272,104,57.62714
221.820252,103,57.692651
222.551191,105,57.759159
221.960537,104,57.826161
222.522499,104,57.891673
222.19383,105,57.957195
222.066989,104,58.024195
221.756172,103,58.738798
220.712089,102,58.803303
221.627033,103,58.868832
222.295833,105,58.934835
222.585412,105,59.001341
222.427732,105,59.066853
221.564023,103,59.132854
221.991904,103,59.198362
221.754066,103,59.26387
221.869475,104,59.329895
221.344145,102,60.052944
221.834003,103,60.118944
222.767022,105,60.184457
221.995567,103,60.24897
222.046143,103,60.313969
222.031776,103,60.378481
221.912543,104,60.443992
222.411279,105,60.510497
221.29348,102,60.575011
221.901819,104,60.641017
221.389853,102,61.358177
221.915408,104,61.425177
222.559212,104,61.490687
222.110834,103,61.557206
221.55815,103,61.622699
221.474733,103,61.686858
222.227026,104,61.753369
222.309838,105,61.820369
221.76827,103,61.884881
222.655065,105,62.604513
222.001311,103,62.670025
222.126326,104,62.735028
221.592283,104,62.800539
222.106297,105,62.867051
222.304786,104,62.932148
222.022205,104,62.998565
222.06312,103,63.064078
221.711271,103,63.130082
221.63932,103,63.496278
221.686753,103,64.212922
222.389595,104,64.278438
221.754323,103,64.343951
221.845636,103,64.40995
222.107291,104,64.476002
222.382292,104,64.54163
222.134791,104,64.606648
221.972184,104,64.672161
222.259105,104,64.738163
222.090753,104,64.804675
221.94838,104,65.522737
222.217934,103,65.587741
222.025325,102,65.652928
222.314003,103,65.717929
222.448777,105,65.78501
221.694941,103,65.851069
222.657322,104,65.917927
221.853854,104,65.983784
222.22606,104,66.048805
222.422453,104,66.115806
221.940695,103,66.829569
222.17188,103,66.89508
222.100646,103,66.961594
222.898215,107,67.029202
222.290679,104,67.094711
222.412082,105,67.162222
223.034392,106,67.229261
221.934538,103,67.294772
221.807005,103,67.3603
222.111998,103,67.426319
222.902664,105,68.143407
221.965517,103,68.209426
221.849705,103,68.275934
222.063401,103,68.341938
222.486202,105,68.409447
222.068153,103,68.473957
222.654191,105,68.539472
221.987114,104,68.605949
222.520114,104,68.67146
221.839793,103,68.736462
222.267823,105,69.450779
221.977926,104,69.519779
222.588089,104,69.586293
222.376447,104,69.652801
221.802463,103,69.716802
221.941408,103,69.782311
222.346708,104,69.84839
222.567804,104,69.915478
222.605697,104,69.978898
221.940075,103,70.043901
222.243839,104,70.762012
222.414971,104,70.829011
222.521205,104,70.895521
222.661147,104,70.962035
222.00226,103,71.027034
221.87037,103,71.09361
222.337107,104,71.159119
222.599273,105,71.22512
221.711764,103,71.289634
222.415296,104,71.356143
222.113633,103,72.071253
222.813613,105,72.138256
222.131569,103,72.203763
223.091894,106,72.271816
222.279077,103,72.33782
222.008911,103,72.403463
222.827298,105,72.470051
222.259904,104,72.53667
222.583363,104,72.601175
222.765212,105,73.316925
