#{"t_start": 1779171662.9243002, "env_id": "None"}
r,l,t
-5.663586,500,1.258316
-11.413152,500,1.516837
20.150811,500,2.367632
-3.965831,500,2.617798
20.838593,500,3.446609
44.687381,500,3.716138
47.312514,500,4.528123
45.884658,500,4.838709
75.349657,500,5.7899
98.212998,500,6.091026
219.786733,405,6.974452
219.743544,334,7.182021
96.980891,500,8.114246
220.552691,355,8.335716
220.633671,308,8.5224
221.744856,335,9.381708
219.160164,389,9.612299
224.510766,280,9.786742
223.114167,275,9.954271
222.498792,266,10.736184
222.81549,278,10.913699
222.46425,249,11.063763
223.360744,224,11.204279
222.701786,216,11.972712
221.691372,227,12.115229
223.928417,244,12.267841
222.407482,220,12.407354
222.130381,220,13.216508
222.756626,186,13.346535
223.350237,194,13.46319
220.137385,299,13.649477
221.392673,198,13.773508
223.050524,202,14.586211
222.513953,204,14.715359
223.791287,190,14.835036
222.92922,168,14.940548
222.174028,192,15.062642
222.507133,180,15.881374
222.354283,175,15.994491
222.592243,179,16.110431
222.67399,151,16.208191
221.148308,169,16.315054
222.80003,164,16.419444
222.794435,173,17.179695
221.970939,161,17.28161
222.067509,159,17.380277
222.098155,157,17.480383
222.380948,144,17.570944
222.269691,151,17.667434
223.170846,150,17.760838
222.491913,146,18.500119
223.583421,138,18.586461
221.779163,130,18.668473
222.971687,147,18.760707
223.022799,135,18.844431
223.747234,145,18.935639
223.702754,146,19.028087
222.409448,135,19.770486
223.325774,134,19.85493
222.704995,131,19.938498
223.325338,133,20.02166
222.52155,136,20.103906
222.117899,134,20.189141
221.74047,126,20.268047
222.891304,141,20.357323
222.173212,128,21.088561
222.340176,138,21.173724
222.56799,131,21.255134
221.200094,120,21.330444
223.108696,130,21.412492
222.088904,126,21.49356
221.279133,122,21.570041
222.581513,126,21.650234
222.569786,126,22.376234
222.481029,124,22.454677
222.195682,120,22.529841
222.197304,123,22.607402
223.184747,135,22.694391
221.425491,122,22.771527
222.472043,120,22.847688
221.583664,121,22.923361
222.290936,124,23.653592
222.801996,123,23.732212
222.9912,129,23.814055
222.17647,117,23.888354
223.52984,121,23.965696
222.279285,117,24.040159
222.563634,133,24.123724
222.075765,120,24.197786
223.507888,125,24.274518
222.802776,119,25.000665
222.628751,121,25.076413
222.07459,115,25.149678
222.476404,116,25.223452
222.731658,118,25.298693
222.408526,117,25.373471
221.230272,115,25.446359
222.210096,114,25.517903
221.914409,115,26.247883
222.644426,116,26.320885
222.632884,113,26.392393
222.682384,113,26.462911
222.30093,116,26.535933
222.318514,118,26.610419
221.915941,114,26.682929
222.832784,116,26.755439
221.943961,113,26.827444
222.333828,112,27.546272
221.709869,116,27.619275
222.561962,114,27.692783
222.244411,113,27.779293
222.853067,112,27.849472
222.015736,113,27.921476
221.890314,114,27.992985
221.221474,110,28.061496
222.946987,111,28.131011
221.041118,112,28.852791
222.720441,112,28.923795
221.957204,108,28.993395
222.608066,113,29.063813
222.622014,113,29.135325
221.937436,112,29.205929
222.135017,111,29.278023
223.08745,111,29.348533
221.692558,111,29.419533
222.032201,114,29.491039
222.247052,110,30.214781
222.458026,111,30.28429
222.5894,109,30.353801
222.229658,109,30.422802
222.318845,112,30.492308
222.252185,111,30.564037
222.893356,113,30.635546
223.457935,115,30.708547
221.4535,108,30.776148
222.108839,112,31.497151
221.841948,107,31.564662
222.998646,112,31.635969
222.060248,110,31.704969
222.055365,108,31.77458
221.55107,108,31.842185
222.709088,109,31.909185
222.154369,114,31.982104
221.494455,109,32.050784
222.725312,109,32.765359
222.070497,107,32.833459
222.311553,109,32.902009
222.742536,111,32.972607
222.481152,109,33.042029
222.725225,110,33.111031
221.5067,106,33.178543
222.010885,109,33.24761
222.592115,113,33.317608
222.205432,108,34.032027
222.114355,109,34.10144
221.319971,107,34.170045
222.17726,106,34.23723
221.943094,108,34.306229
222.095988,108,34.374742
221.881516,106,34.441251
222.214948,108,34.508253
222.08238,108,34.577038
222.009831,107,34.644547
221.980206,108,35.361208
221.536556,107,35.428212
221.793724,105,35.49581
222.084114,107,35.563417
222.638451,108,35.63454
222.256789,107,35.702586
222.168893,110,35.77275
221.466468,105,35.837351
221.55834,105,35.904351
222.395202,107,35.971868
221.842821,106,36.690567
221.633546,105,36.758076
222.155013,105,36.824079
222.014031,107,36.890585
221.11199,106,36.956098
221.664494,106,37.022671
222.577494,107,37.090683
221.765658,106,37.15819
221.935453,107,37.2267
221.115981,104,37.938629
222.186068,108,38.006629
222.162882,107,38.07514
222.517788,107,38.14065
220.96476,105,38.207651
221.464709,105,38.272158
221.485535,105,38.337668
222.347888,106,38.40367
220.982322,106,38.4712
221.41399,106,38.536815
221.461632,107,39.256374
221.520223,105,39.324368
221.415922,105,39.388874
221.448001,105,39.453472
220.968415,104,39.518384
221.661266,104,39.583896
221.892592,106,39.651407
221.775597,105,39.717496
221.668969,106,39.784916
221.850878,106,39.850525
220.989766,104,40.567019
221.558856,105,40.634104
221.54633,106,40.700613
221.852764,105,40.766118
221.760738,105,40.83312
221.291273,103,40.898104
221.850074,105,40.963616
221.287188,103,41.027617
221.875691,106,41.093277
222.432604,107,41.809451
222.385743,105,41.874962
221.848555,106,41.942473
221.771363,105,42.009079
222.005843,104,42.074589
221.791529,104,42.141181
222.089034,106,42.208248
221.404603,103,42.273808
222.087032,105,42.340317
222.244641,105,42.407317
221.024228,105,43.122414
221.875622,104,43.188925
222.213354,105,43.254436
221.78717,105,43.320436
222.237657,105,43.386944
221.540253,104,43.453132
221.912015,105,43.519038
222.460856,105,43.585706
221.772573,104,43.652214
221.537132,103,43.715214
221.757543,104,44.44051
222.299515,105,44.505514
221.429979,104,44.571281
222.30422,106,44.636643
222.477719,106,44.703152
222.224256,106,44.774665
221.792274,105,44.842176
221.695328,104,44.909176
221.709153,105,44.975689
222.097914,106,45.043198
221.617077,103,45.757794
221.645914,105,45.823794
221.562658,104,45.890303
221.917695,104,45.954813
221.87918,104,46.019814
222.027455,105,46.085324
222.190595,104,46.150835
221.798347,103,46.216835
222.144267,104,46.282342
222.760088,105,46.348855
222.761428,106,47.067323
222.257463,104,47.134325
221.517573,104,47.200835
222.713914,106,47.267346
222.17408,106,47.335349
222.589602,107,47.403952
222.371319,105,47.471479
222.530769,105,47.537485
221.752981,105,47.605266
221.9315,104,48.321558
222.356273,105,48.389068
221.667776,105,48.455576
221.400434,104,48.5197
221.636738,104,48.586696
221.800895,103,48.652586
222.389523,104,48.717622
