#{"t_start": 1779171662.9273012, "env_id": "None"}
r,l,t
17.565894,500,1.255315
-107.028581,293,1.408824
-5.518109,500,2.259685
-2.540375,500,2.508642
22.787972,500,3.341091
45.397102,500,3.603118
46.364531,500,4.42451
48.347221,500,4.704203
73.736243,500,5.658391
74.421367,500,5.961918
75.024841,500,6.909429
221.376253,361,7.126019
94.825148,500,8.063239
220.480469,325,8.261204
220.08761,318,8.455231
221.312223,297,8.633283
221.048749,252,9.442785
222.760351,285,9.612299
221.072918,329,9.81976
219.196267,252,10.589075
221.622288,225,10.727181
222.779539,263,10.895694
222.928399,245,11.042717
222.28154,216,11.178274
221.725893,218,11.953663
222.256349,198,12.070226
221.158861,241,12.223838
222.829267,218,12.36035
219.959922,220,13.168504
222.083174,186,13.289018
221.245726,174,13.410137
221.030774,197,13.5277
222.324041,203,13.654475
222.563966,199,13.778507
222.792968,168,14.570026
221.42166,232,14.716362
222.049968,182,14.831033
222.318056,179,14.944545
222.730176,176,15.05664
222.0684,182,15.875371
220.960802,166,15.983131
222.113984,152,16.081362
223.711746,163,16.187502
222.152139,164,16.291903
221.04861,159,16.392627
221.05591,157,16.492002
221.136892,144,17.233324
221.300513,139,17.321001
223.631476,168,17.426513
221.941397,153,17.523511
222.618737,158,17.623197
223.234952,162,17.725136
222.343844,143,18.463434
222.976394,150,18.556404
222.734888,135,18.641416
221.640356,127,18.721273
222.356463,141,18.809327
222.671714,158,18.907474
222.149615,134,18.992561
222.880542,141,19.082122
223.361877,141,19.827868
222.443283,133,19.911783
223.08717,145,20.004152
222.467269,135,20.085892
223.567044,135,20.170631
221.932256,127,20.250497
222.81529,134,20.335311
221.061551,131,21.068548
222.250806,126,21.146188
221.658809,130,21.22761
222.264867,126,21.306376
222.713837,127,21.38648
221.726891,128,21.468011
221.877592,131,21.55053
223.073707,131,21.634728
222.892436,130,22.361727
222.282236,121,22.438665
223.302085,123,22.516829
221.940441,122,22.592894
222.967915,123,22.672256
222.364444,121,22.748564
222.773384,128,22.830633
223.323815,124,22.908351
222.12289,129,23.641591
222.794604,113,23.713289
222.311508,119,23.789526
221.947294,118,23.86422
222.637148,116,23.938169
222.991771,119,24.013721
221.494296,122,24.091713
222.862493,123,24.166543
220.828409,119,24.24082
222.572924,124,24.968053
222.467346,119,25.043704
223.023447,121,25.120529
223.581897,119,25.195928
222.879474,118,25.270585
222.014422,121,25.347459
222.442684,117,25.421748
222.246647,112,25.492891
222.148454,113,25.564614
221.824251,109,26.289881
221.83786,117,26.363393
223.186583,116,26.436909
222.896856,120,26.512421
223.466416,122,26.589507
221.851091,118,26.663929
222.302586,120,26.73944
221.435328,119,26.815445
221.147727,117,27.536269
223.690813,118,27.611271
223.118451,114,27.683782
221.930886,116,27.772292
222.464964,117,27.846471
222.258859,116,27.920475
221.859213,111,27.989984
221.51066,114,28.061497
222.304141,115,28.133007
222.416173,112,28.854791
220.948467,109,28.923794
222.182874,111,28.995301
221.618004,111,29.064812
222.530738,113,29.136323
221.797351,112,29.206928
221.525497,111,29.279022
222.298613,112,29.35053
221.437118,111,29.421535
221.527041,113,30.144784
222.968166,111,30.215784
222.800645,112,30.287289
221.929598,109,30.355802
221.536603,110,30.4258
222.496907,111,30.49431
222.050736,110,30.566037
221.899519,108,30.633545
222.057158,109,30.702545
222.912756,111,30.773147
221.987492,109,31.491148
222.500051,109,31.560661
222.145292,108,31.628831
222.650081,109,31.69797
222.752625,110,31.767578
222.962879,114,31.840183
222.073545,108,31.906184
221.978635,108,31.975536
222.716106,110,32.043781
221.466211,109,32.759356
222.849414,109,32.827952
222.375102,111,32.899008
222.493784,109,32.968517
222.36968,110,33.038028
222.956258,109,33.10603
222.287419,112,33.177539
222.103414,109,33.246607
221.395382,108,33.313698
222.132674,107,34.026932
222.517436,109,34.096441
222.06384,106,34.164044
222.007124,106,34.232149
221.985479,108,34.301229
222.022623,108,34.36883
221.945016,107,34.436251
222.017457,106,34.502252
222.098901,107,34.570128
221.641975,108,34.638546
222.511218,108,35.355207
221.807061,106,35.422211
