#{"t_start": 1779171662.9283006, "env_id": "None"}
r,l,t
-3.97094,500,1.254315
-103.938191,168,1.344823
-4.809372,500,2.19117
-4.031647,500,2.442138
21.076724,500,3.270077
46.666295,500,3.531116
46.943328,500,4.361001
68.291187,500,4.617202
49.064098,500,5.578882
74.112421,500,5.886409
75.502637,500,6.843424
219.547978,466,7.112017
221.086646,386,7.355084
220.218743,374,8.206693
220.262759,344,8.421234
220.570068,330,8.615285
222.197995,311,9.459787
222.656984,285,9.628897
220.952823,249,9.78925
222.346364,304,10.591075
221.673769,315,10.786182
219.674557,268,10.955204
221.293921,264,11.117275
221.045246,229,11.89961
221.842588,247,12.047225
222.716119,198,12.172323
223.169321,226,12.312843
223.561966,208,12.446437
223.104717,214,13.252017
222.397308,190,13.383136
221.525364,177,13.489189
222.440277,192,13.609972
222.791503,205,13.737508
221.570714,194,14.544234
223.064625,200,14.670354
222.305548,166,14.775519
222.054385,178,14.887035
221.62623,174,14.998548
223.642689,181,15.112646
220.869997,154,15.91445
221.737442,156,16.017037
223.009853,175,16.129597
224.723163,175,16.242305
222.806394,162,16.345059
222.057989,161,16.44747
223.839528,160,17.197795
221.942122,159,17.300128
222.784172,151,17.393472
223.160315,159,17.494491
222.969069,149,17.589666
221.667193,171,17.696109
223.925236,164,18.447422
222.492528,146,18.538212
222.342275,151,18.633909
223.696771,151,18.728363
223.511766,141,18.816402
221.959614,147,18.908475
223.230998,160,19.009569
223.072217,157,19.765486
223.265972,137,19.851928
221.975471,128,19.933498
223.233038,145,20.024758
222.96141,130,20.103909
222.08222,128,20.184139
221.796078,128,20.264047
223.155545,152,20.360829
222.657144,134,21.095659
220.945069,122,21.17095
221.846827,126,21.249627
223.414014,123,21.326444
221.771474,136,21.412996
222.926296,128,21.494065
221.974351,126,21.573547
222.637696,123,21.652739
222.076241,128,22.378233
222.394796,130,22.461184
221.801561,127,22.540859
222.64672,124,22.619408
222.41211,128,22.701896
222.369791,121,22.778033
222.713639,118,22.854168
222.028347,127,22.933379
222.315328,119,23.659621
222.549492,123,23.738719
223.064583,119,23.814056
222.87893,127,23.894551
222.176223,114,23.967793
222.142396,117,24.041668
222.999237,122,24.118723
222.432389,118,24.190788
223.48438,124,24.266833
222.941043,117,24.991666
221.558898,122,25.067813
222.323162,116,25.142678
221.33809,116,25.215948
221.022076,113,25.288184
221.322353,114,25.36047
221.480482,113,25.432851
221.887318,114,25.504397
221.737154,116,26.234882
222.38997,115,26.306882
222.30427,116,26.380392
222.201317,116,26.453911
222.025026,115,26.52593
222.717804,122,26.602418
221.834035,119,26.67793
221.167276,115,26.750439
222.645128,114,26.822445
222.536417,115,27.543272
222.183454,113,27.614276
220.986171,110,27.684783
222.911192,115,27.773294
221.88109,111,27.843473
222.139011,114,27.915475
222.513513,111,27.984985
221.847683,116,28.057495
222.216798,113,28.128099
221.284771,114,28.851792
222.695004,111,28.921795
221.925673,110,28.992301
222.577193,114,29.063813
222.661057,114,29.136327
222.513718,113,29.20793
221.276464,110,29.279022
223.245555,112,29.34953
221.733208,113,29.422533
221.961372,115,30.147781
221.696044,110,30.217785
222.422426,109,30.28629
222.718712,110,30.3568
222.070364,109,30.424801
221.924881,109,30.493311
222.086598,110,30.564037
222.274982,111,30.633546
222.620116,111,30.704546
221.534456,107,30.772147
222.447863,111,31.491149
222.641844,111,31.561661
221.69084,108,31.630969
222.554785,112,31.701968
220.822131,108,31.77058
221.501185,110,31.839184
222.718887,111,31.908186
222.632163,107,31.976103
222.302691,110,32.044781
221.580733,107,32.759357
222.572027,109,32.827956
222.686646,111,32.898009
222.697947,111,32.969607
222.280747,108,33.037029
222.916681,111,33.10703
221.635125,108,33.17554
222.115922,109,33.245608
222.450488,109,33.312699
222.820387,111,34.029022
222.336267,107,34.09744
222.063696,107,34.165047
222.382002,107,34.234229
220.88288,107,34.302229
222.527575,111,34.371741
222.356649,107,34.43825
222.07976,109,34.507352
222.486617,108,34.575037
222.016565,107,34.643548
222.231035,106,35.358207
221.815682,107,35.42621
222.328696,108,35.494812
221.659521,107,35.562417
221.553477,107,35.63321
221.242783,104,35.699588
221.830374,106,35.766751
222.412174,108,35.833351
221.355979,104,35.899348
221.555759,106,35.966868
221.859604,106,36.685567
222.186744,107,36.754076
222.955505,110,36.824077
222.095824,108,36.890583
222.351382,107,36.957096
221.984098,105,37.023175
221.524492,107,37.090681
221.435046,105,37.157189
221.846154,105,37.224261
222.705144,108,37.939628
221.52761,106,38.006629
221.023248,104,38.072142
221.656447,105,38.137651
222.157114,107,38.205649
221.896228,108,38.271157
221.855436,106,38.337667
222.48678,109,38.406173
221.341136,106,38.473194
221.660847,105,38.537818
221.071541,104,39.256364
221.553843,107,39.325368
221.826217,105,39.388962
221.992352,105,39.454382
222.175355,106,39.520386
222.266052,107,39.587896
222.316502,107,39.656406
221.985287,106,39.72241
221.81655,107,39.789916
222.330869,107,40.508416
221.72181,105,40.575096
221.771656,106,40.64161
222.356457,105,40.70761
222.120033,106,40.774117
221.799277,105,40.840104
221.578721,105,40.907104
221.864075,106,40.972614
222.759316,106,41.038124
221.592607,105,41.105186
222.41379,106,41.81845
222.159653,105,41.884961
221.48198,104,41.951475
222.075255,105,42.018079
221.099727,104,42.083591
221.304713,104,42.15018
221.792757,104,42.216252
221.817023,104,42.281808
222.69299,107,42.350316
222.350267,106,42.417318
